Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
1027,DOCTOR FERRAN - PG. MANUEL GIRONA (baixada),1,Trànsit,3,4,21,1,Espira,2.1237037935422,41.3906592623485,426738.641,4582495.861
1028,ARISTIDES MAILLOL - CARDENAL REIG (Baixada),1,Trànsit,3,4,20,1,Espira,2.12016648138265,41.3788618827201,426429.609,4581189.129
1029,ARISTIDES MAILLOL - CARDENAL REIG (Pujada),1,Trànsit,3,4,20,1,Espira,2.12026132638103,41.3789667368511,426437.658,4581200.69
1030,JOAN XXIII - MARTÍ I FRANQUÉS (Llobregat),1,Trànsit,1,4,20,1,Espira,2.12184772928002,41.3821916666666,426573.94,4581557.371
1031,JOAN XXIII - MENÉNDEZ PELAYO (Besòs),1,Trànsit,1,4,20,1,Espira,2.12199741972438,41.3821472222222,426586.406,4581552.31
1032,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada),1,Trànsit,2,4,20,1,Espira,2.12817127446172,41.3829592063285,427103.541,4581637.244
1033,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada),1,Trànsit,3,4,20,1,Espira,2.12810394464394,41.3818510282584,427096.673,4581514.272
2001,PARÍS - VILADOMAT (sentit Besòs),1,Trànsit,3,2,9,1,Espira,2.1465047471315,41.3885296827205,428642.568,4582240.41
2002,ENTENÇA - DEU I MATA  (sentit muntanya),1,Trànsit,5,4,19,1,Espira,2.13796914924406,41.3900018374214,427930.559,4582410.911
2003,TARRAGONA - VALÈNCIA  (sentit mar),1,Trànsit,4,3,15,1,Espira,2.14530786309372,41.378572477309,428531.598,4581135.963
2004,NUMÀNCIA - MARQUES DE SENTMENAT V (sentit mar),1,Trànsit,4,4,19,1,Espira,2.13747872461352,41.3847091760812,427883.708,4581823.736
2005,ENTENÇA - PROVENÇA  (sentit muntanya),1,Trànsit,4,2,9,1,Espira,2.14534608547098,41.3836075007717,428540.307,4581694.912
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),1,Trànsit,3,2,9,1,Espira,2.1497682341535,41.3832232168521,428909.638,4581648.612
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),1,Trànsit,3,2,9,1,Espira,2.14904637422425,41.3836515144813,428849.748,4581696.753
2010,BERLÍN - COMTES DE BELL.LLOC (sentit Besòs),1,Trànsit,4,3,18,1,Espira,2.13659629573035,41.3821747514497,427807.124,4581543.102
2011,TRAVESSERA DE LES CORTS - VILAMUR (Llobregat),1,Trànsit,4,4,19,1,Espira,2.13371166810962,41.3860268567946,427570.2,4581973.164
2012,AV. MADRID - PORTBOU  (sentit Besòs),1,Trànsit,4,4,20,1,Espira,2.12645591588704,41.3778875629361,426954.437,4581075.641
2013,NUMÀNCIA - ANGLESOLA  (sentit mar),1,Trànsit,3,4,19,1,Espira,2.13363873768197,41.3885020912706,427566.85,4582248.022
2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),1,Trànsit,4,3,15,1,Espira,2.14733648474262,41.3770104507661,428699.525,4580960.878
2017,SANTS - RIERA BLANCA (sentit Hospitalet),1,Trànsit,4,3,18,1,Espira,2.12239111942769,41.3756480686338,426612.019,4580830.45
2018,PG. SANT ANTONI - ALCOLEA (Besòs),1,Trànsit,2,3,18,1,Espira,2.136317347654,41.3762008780484,427777.19,4580880.125
2020,AV. MADRID - TENOR MASINI (Besòs),1,Trànsit,4,4,19,1,Espira,2.13105365778254,41.3803288751531,427341.621,4581342.808
2021,AV. MADRID - LLUÇÀ (Llobregat),1,Trànsit,2,3,18,1,Espira,2.13101466622061,41.380386227348,427338.424,4581349.208
2022,TRAV. DE LES CORTS - GALILEU (Besòs),1,Trànsit,2,4,19,1,Espira,2.13204774127371,41.3848966969433,427429.822,4581849.088
2023,TRAV. DE LES CORTS - GALILEU (Llobregat),1,Trànsit,3,4,19,1,Espira,2.13156468172109,41.3846559474015,427389.165,4581822.765
2024,C. DE SANTS - SANT FELIU DE GUÍXOLS (Sentit Hospitalet),1,Trànsit,2,3,17,3,Visió Artificial,2.12913358824874,41.3755675328357,427175.758,4580815.822
2025,C. DE SANTS - SUGRANYES (Sentit Pl. Espanya),1,Trànsit,2,3,17,3,Visió Artificial,2.12637855996629,41.3755780639749,426945.385,4580819.31
2026,C. DE SANTS - JOAN GÜELL (Sentit Hospitalet),1,Trànsit,2,3,18,3,Visió Artificial,2.13344096127324,41.3754717017484,427535.85,4580801.573
2027,C. DE SANTS - SANT MEDIR (Sentit Pl. Espanya),1,Trànsit,2,3,18,3,Visió Artificial,2.13281531900884,41.375427012794,427483.481,4580797.135
